"","review_scores_value","avg_price"
"1",2,132.153846153846
"2",4,185.071428571429
"3",5,119.111111111111
"4",6,204.651162790698
"5",7,143.983870967742
"6",8,199.19222462203
"7",9,195.511990864104
"8",10,208.845542806708
"9",NA,404.184971098266
